Sorted result at 2019-03-05 17:12:54.131251
(('add_expensive_neighborhood_feature', 'sum_SF', 'sum_Porch', 'sum_Baths', 'drop_empty_features', 'remove_lotfrontage_feature', 'drop_categories', 'remove_too_cheap_outliers', 'transform_sales_to_log_of_sales', 'fix_skewness', 'remove_under_represented_features'), 0.892971421499935)
(('add_expensive_neighborhood_feature', 'add_home_quality', 'sum_SF', 'sum_Porch', 'drop_empty_features', 'remove_lotfrontage_feature', 'drop_categories', 'remove_too_cheap_outliers', 'categorical_to_ordinal', 'transform_sales_to_log_of_sales', 'fix_skewness'), 0.8929673745456721)
(('add_expensive_neighborhood_feature', 'add_years_since_last_remodel', 'sum_SF', 'sum_Porch', 'drop_empty_features', 'remove_lotfrontage_feature', 'drop_categories', 'remove_too_cheap_outliers', 'categorical_to_ordinal', 'transform_sales_to_log_of_sales', 'fix_skewness'), 0.8929666912590466)
(('add_expensive_neighborhood_feature', 'add_home_quality', 'add_years_since_last_remodel', 'sum_SF', 'sum_Porch', 'drop_empty_features', 'remove_lotfrontage_feature', 'drop_categories', 'remove_too_cheap_outliers', 'transform_sales_to_log_of_sales', 'fix_skewness'), 0.8929155784957109)
(('add_expensive_neighborhood_feature', 'add_home_quality', 'add_years_since_last_remodel', 'sum_SF', 'sum_Porch', 'remove_lotfrontage_feature', 'drop_categories', 'remove_too_cheap_outliers', 'categorical_to_ordinal', 'transform_sales_to_log_of_sales', 'fix_skewness'), 0.8929155784957109)
(('add_expensive_neighborhood_feature', 'add_years_since_last_remodel', 'sum_SF', 'sum_Porch', 'drop_empty_features', 'remove_lotfrontage_feature', 'drop_categories', 'remove_too_cheap_outliers', 'transform_sales_to_log_of_sales', 'fix_skewness', 'remove_under_represented_features'), 0.8928619593907021)
(('add_expensive_neighborhood_feature', 'add_years_since_last_remodel', 'sum_SF', 'sum_Porch', 'remove_lotfrontage_feature', 'drop_categories', 'remove_too_cheap_outliers', 'categorical_to_ordinal', 'transform_sales_to_log_of_sales', 'fix_skewness', 'remove_under_represented_features'), 0.8928619593907021)
(('add_expensive_neighborhood_feature', 'add_home_quality', 'add_years_since_last_remodel', 'sum_SF', 'sum_Porch', 'remove_lotfrontage_feature', 'drop_categories', 'remove_too_cheap_outliers', 'transform_sales_to_log_of_sales', 'fix_skewness', 'remove_under_represented_features'), 0.8928544456992583)
(('add_expensive_neighborhood_feature', 'add_home_quality', 'sum_SF', 'sum_Porch', 'drop_empty_features', 'remove_lotfrontage_feature', 'drop_categories', 'remove_too_cheap_outliers', 'transform_sales_to_log_of_sales', 'fix_skewness', 'remove_under_represented_features'), 0.8928514227830583)
(('add_expensive_neighborhood_feature', 'add_home_quality', 'sum_SF', 'sum_Porch', 'remove_lotfrontage_feature', 'drop_categories', 'remove_too_cheap_outliers', 'categorical_to_ordinal', 'transform_sales_to_log_of_sales', 'fix_skewness', 'remove_under_represented_features'), 0.8928514227830583)
(('add_expensive_neighborhood_feature', 'add_home_quality', 'add_years_since_last_remodel', 'sum_SF', 'sum_Baths', 'drop_empty_features', 'drop_categories', 'remove_too_cheap_outliers', 'categorical_to_ordinal', 'transform_sales_to_log_of_sales', 'fix_skewness'), 0.8924811366042433)
(('add_expensive_neighborhood_feature', 'add_home_quality', 'add_years_since_last_remodel', 'sum_SF', 'sum_Baths', 'drop_empty_features', 'drop_categories', 'remove_too_cheap_outliers', 'transform_sales_to_log_of_sales', 'fix_skewness', 'remove_under_represented_features'), 0.8923205155059615)
(('add_expensive_neighborhood_feature', 'add_home_quality', 'add_years_since_last_remodel', 'sum_SF', 'sum_Baths', 'drop_categories', 'remove_too_cheap_outliers', 'categorical_to_ordinal', 'transform_sales_to_log_of_sales', 'fix_skewness', 'remove_under_represented_features'), 0.8923205155059615)
(('add_expensive_neighborhood_feature', 'add_home_quality', 'add_years_since_last_remodel', 'sum_SF', 'drop_empty_features', 'drop_categories', 'remove_too_cheap_outliers', 'categorical_to_ordinal', 'transform_sales_to_log_of_sales', 'fix_skewness', 'remove_under_represented_features'), 0.8922790303694255)
(('add_expensive_neighborhood_feature', 'add_years_since_last_remodel', 'sum_SF', 'sum_Porch', 'sum_Baths', 'drop_empty_features', 'drop_categories', 'remove_too_cheap_outliers', 'categorical_to_ordinal', 'transform_sales_to_log_of_sales', 'fix_skewness'), 0.8922747110587412)
(('add_expensive_neighborhood_feature', 'add_home_quality', 'sum_SF', 'sum_Porch', 'sum_Baths', 'drop_empty_features', 'drop_categories', 'remove_too_cheap_outliers', 'categorical_to_ordinal', 'transform_sales_to_log_of_sales', 'fix_skewness'), 0.892261280078342)
(('add_expensive_neighborhood_feature', 'add_years_since_last_remodel', 'sum_SF', 'sum_Baths', 'drop_empty_features', 'drop_categories', 'remove_too_cheap_outliers', 'categorical_to_ordinal', 'transform_sales_to_log_of_sales', 'fix_skewness', 'remove_under_represented_features'), 0.8922446516166829)
(('add_expensive_neighborhood_feature', 'add_home_quality', 'sum_SF', 'sum_Baths', 'drop_empty_features', 'drop_categories', 'remove_too_cheap_outliers', 'categorical_to_ordinal', 'transform_sales_to_log_of_sales', 'fix_skewness', 'remove_under_represented_features'), 0.8922379939212537)
(('add_expensive_neighborhood_feature', 'add_home_quality', 'add_years_since_last_remodel', 'sum_SF', 'sum_Porch', 'sum_Baths', 'drop_empty_features', 'drop_categories', 'remove_too_cheap_outliers', 'transform_sales_to_log_of_sales', 'fix_skewness'), 0.8921934435694358)
(('add_expensive_neighborhood_feature', 'add_home_quality', 'add_years_since_last_remodel', 'sum_SF', 'sum_Porch', 'sum_Baths', 'drop_categories', 'remove_too_cheap_outliers', 'categorical_to_ordinal', 'transform_sales_to_log_of_sales', 'fix_skewness'), 0.8921934435694358)
(('add_expensive_neighborhood_feature', 'add_home_quality', 'add_years_since_last_remodel', 'sum_SF', 'sum_Porch', 'drop_empty_features', 'drop_categories', 'remove_too_cheap_outliers', 'categorical_to_ordinal', 'transform_sales_to_log_of_sales', 'fix_skewness'), 0.8920469942881185)
(('add_expensive_neighborhood_feature', 'add_years_since_last_remodel', 'sum_SF', 'sum_Porch', 'sum_Baths', 'drop_empty_features', 'drop_categories', 'remove_too_cheap_outliers', 'transform_sales_to_log_of_sales', 'fix_skewness', 'remove_under_represented_features'), 0.892008823232554)
